DATE,ret_m
20141222,0.003258
20141223,0.002203
20141224,0.000588
20141226,0.003674
20141229,0.001242
20141230,-0.004285
20141231,-0.008791
20150102,-0.000235
20150105,-0.018293
20150106,-0.009662
20150107,0.011123
20150108,0.016874
20150109,-0.007549
20150112,-0.007785
20150113,-0.002275
20150114,-0.005213
20150115,-0.009198
20150116,0.013849
20150120,0.000261
20150121,0.004535
20150122,0.014718
20150123,-0.004200
20150126,0.004400
20150127,-0.010025
20150128,-0.014068
20150129,0.008484
20150130,-0.012189
20150202,0.012239
20150203,0.015022
20150204,-0.004431
20150205,0.011521
20150206,-0.003591
20150209,-0.004100
20150210,0.008623
20150211,-0.000357
20150212,0.010441
20150213,0.004736
20150217,0.001741
20150218,0.000149
20150219,-0.001020
20150220,0.005712
20150223,-0.000643
20150224,0.002300
20150225,0.000691
20150226,-0.001536
20150227,-0.002607
20150302,0.005500
20150303,-0.004052
20150304,-0.003783
20150305,0.001631
20150306,-0.013853
20150309,0.002858
20150310,-0.015521
20150311,-0.000203
20150312,0.011993
20150313,-0.005524
20150316,0.011764
20150317,-0.001749
20150318,0.012074
20150319,-0.004543
20150320,0.009384
20150323,-0.000954
20150324,-0.004574
20150325,-0.014704
20150326,-0.002244
20150327,0.002472
20150330,0.011527
20150331,-0.007125
20150401,-0.002685
20150402,0.004003
20150406,0.006576
20150407,-0.002130
20150408,0.003592
20150409,0.003362
20150410,0.004604
20150413,-0.003730
20150414,0.001877
20150415,0.006182
20150416,-0.000412
20150417,-0.011304
20150420,0.008083
20150421,-0.001002
20150422,0.004141
20150423,0.003545
20150424,0.001161
20150427,-0.004796
20150428,0.002468
20150429,-0.003928
20150430,-0.010726
20150501,0.009298
20150504,0.002970
20150505,-0.011558
20150506,-0.003353
20150507,0.003357
20150508,0.012089
20150511,-0.003975
20150512,-0.002241
20150513,0.000185
20150514,0.009735
20150515,0.001065
20150518,0.003346
20150519,-0.001351
20150520,-0.000324
20150521,0.002479
20150522,-0.002205
20150526,-0.010471
20150527,0.008653
20150528,-0.001208
20150529,-0.005812
20150601,0.001531
20150602,0.000375
20150603,0.002646
20150604,-0.008896
20150605,-0.000011
20150608,-0.006538
20150609,-0.000026
20150610,0.011535
20150611,0.001893
20150612,-0.006182
20150615,-0.004044
20150616,0.004954
20150617,0.001724
20150618,0.009294
20150619,-0.004865
20150622,0.005850
20150623,0.001289
20150624,-0.007414
20150625,-0.002663
20150626,-0.000817
20150629,-0.021516
20150630,0.002974
20150701,0.005476
20150702,-0.000555
20150706,-0.004510
20150707,0.004992
20150708,-0.016517
20150709,0.002746
20150710,0.012685
20150713,0.010251
20150714,0.004721
20150715,-0.002479
20150716,0.006971
20150717,-0.000624
20150720,-0.001219
20150721,-0.004066
20150722,-0.002375
20150723,-0.005450
20150724,-0.010028
20150727,-0.007089
20150728,0.012260
20150729,0.007577
20150730,0.000785
20150731,-0.000767
20150803,-0.003690
20150804,-0.001721
20150805,0.002564
20150806,-0.007844
20150807,-0.003290
20150810,0.013142
20150811,-0.009268
20150812,0.000715
20150813,-0.002050
20150814,0.003790
20150817,0.005743
20150818,-0.003509
20150819,-0.008821
20150820,-0.021672
20150821,-0.028053
20150824,-0.038603
20150825,-0.010300
20150826,0.033826
20150827,0.024398
20150828,0.002548
20150831,-0.007258
20150901,-0.028197
20150902,0.016374
20150903,0.001848
20150904,-0.013766
20150908,0.023703
20150909,-0.012792
20150910,0.004401
20150911,0.003421
20150914,-0.004221
20150915,0.011446
20150916,0.009532
20150917,-0.000701
20150918,-0.015333
20150921,0.003286
20150922,-0.013633
20150923,-0.003508
20150924,-0.003699
20150925,-0.002122
20150928,-0.027066
20150929,-0.000902
20150930,0.019445
20151001,0.001948
20151002,0.015204
20151005,0.018788
20151006,-0.003079
20151007,0.009817
20151008,0.008534
20151009,0.001437
20151012,-0.000226
20151013,-0.007799
20151014,-0.004298
20151015,0.014726
20151016,0.003398
20151019,-0.000676
20151020,-0.001174
20151021,-0.008030
20151022,0.013958
20151023,0.009512
20151026,-0.002833
20151027,-0.004484
20151028,0.013662
20151029,-0.002210
20151030,-0.004013
20151102,0.012462
20151103,0.003109
20151104,-0.003391
20151105,-0.001398
20151106,-0.000379
